iter	Logloss
133	0.2815350736
134	0.2811359877
135	0.2810699377
136	0.2800807739
137	0.2797767982
138	0.2790754725
139	0.2788900954
140	0.2788108226
141	0.2776256733
142	0.2770654057
143	0.2765990697
144	0.2752514743
145	0.274349877
146	0.2735807012
147	0.272068388
148	0.2717919296
149	0.2711634475
150	0.2710074307
151	0.2697429443
152	0.2693056685
153	0.2691481944
154	0.2682634204
155	0.2674093354
156	0.2656205424
157	0.2647228455
158	0.2643867878
159	0.2640855768
160	0.2636548589
161	0.2627913872
162	0.2620494285
163	0.2615083416
164	0.2605041761
165	0.2600589281
166	0.2593415935
167	0.2588427254
168	0.2584120933
169	0.2577224903
170	0.2574553329
171	0.2567332836
172	0.2559720157
173	0.2553665075
174	0.2550320786
175	0.2542625813
176	0.253940668
177	0.2525593618
178	0.2517610186
179	0.2514979116
180	0.2510109805
181	0.2497481014
182	0.2495285849
183	0.249181726
184	0.2485514866
185	0.2479286194
186	0.2475768957
187	0.247116346
188	0.2462075266
189	0.2461100803
190	0.2457800447
191	0.2449716289
192	0.2447082434
193	0.2444003887
194	0.2439216871
195	0.24335289
196	0.2429347092
197	0.2425232791
198	0.242141445
199	0.241448306
200	0.2409650181
201	0.2403716612
202	0.2397751112
203	0.2396935024
204	0.2388589195
205	0.2381298194
206	0.2377407417
207	0.2367912035
208	0.2351273526
209	0.2343195797
210	0.2340721388
211	0.2335680629
212	0.2330235471
213	0.2325947365
214	0.2320004795
215	0.231476773
216	0.2310602852
217	0.2304806227
218	0.2303326639
219	0.2296704067
220	0.2280879289
221	0.2270545102
222	0.2260972355
223	0.2247772431
224	0.2246379638
225	0.2236708737
226	0.2235956942
227	0.223363362
228	0.2220822452
229	0.2212489267
230	0.2204754647
231	0.2199928627
232	0.2193949839
233	0.2188307516
234	0.2186036056
235	0.2178661904
236	0.2173183527
237	0.2172774411
238	0.2161810371
239	0.2152530799
240	0.2148848544
241	0.2135747845
242	0.2127391515
243	0.2120595353
244	0.2116683789
245	0.2109485798
246	0.2106067786
247	0.2102664776
248	0.2096796786
249	0.2094670842
250	0.2089232756
251	0.2082233643
252	0.207856339
253	0.2071871811
254	0.2069687575
255	0.2061081361
256	0.2057054927
257	0.2045686915
258	0.203527772
259	0.2031816418
260	0.2029527386
261	0.2026306752
262	0.2017190483
263	0.2009171475
264	0.2005913552
265	0.2004703136
266	0.1995352627
267	0.1988448668
268	0.1981104733
269	0.1977945392
270	0.1970770761
271	0.1967053788
272	0.1962332779
273	0.1958936198
274	0.1958781896
275	0.1958241409
276	0.195160255
277	0.1950878615
278	0.194833584
279	0.1944656801
280	0.1941975583
281	0.1934199387
282	0.1933831204
283	0.1928765372
284	0.1924599851
285	0.1915245056
286	0.1909388853
287	0.1905506434
288	0.1902963874
289	0.1895075809
290	0.1889063374
291	0.1888908215
292	0.1888353584
293	0.1885211387
294	0.188401383
295	0.1883916962
296	0.1879484198
297	0.1873625209
298	0.1865693639
299	0.186484819
300	0.1862959915
301	0.1858713171
302	0.1856151538
303	0.1843820208
304	0.1843580182
305	0.1842196175
306	0.1840777022
307	0.1836379191
308	0.1831158842
309	0.1822076219
310	0.1821271275
311	0.1819244342
312	0.1814024422
313	0.1809988129
314	0.1809498219
315	0.1805532648
316	0.1798908148
317	0.1798710984
318	0.1794470133
319	0.1791326866
320	0.1787598642
321	0.1787236996
322	0.178698529
323	0.1781953855
324	0.1779946531
325	0.177544701
326	0.1772187051
327	0.1768949809
328	0.1767499795
329	0.176361384
330	0.1758820823
331	0.1753318658
332	0.1752980479
333	0.1750352409
334	0.1750255113
335	0.1748289044
336	0.1743431198
337	0.173755335
338	0.1736467983
339	0.1735562207
340	0.1729485158
341	0.1728638102
342	0.1722912306
343	0.1720213944
344	0.1715066245
345	0.1710372453
346	0.1705314765
347	0.1700986155
348	0.1700119276
349	0.1698701194
350	0.1697713338
351	0.1692899211
352	0.1685875989
353	0.1683382934
354	0.1682882416
355	0.1680834481
356	0.1676429148
357	0.1675504406
358	0.1674590593
359	0.1667347169
360	0.1666473003
361	0.1665634198
362	0.1665155861
363	0.1661478214
364	0.1654319763
365	0.1650065411
366	0.1649295721
367	0.1644246498
368	0.1640001147
369	0.1637255315
370	0.1634737722
371	0.1627927416
372	0.1621659097
373	0.1617001951
374	0.1614114997
375	0.1613692166
376	0.1613525862
377	0.1611210791
378	0.1609121601
379	0.1603467706
380	0.159995797
381	0.1597290253
382	0.159237358
383	0.1588955247
384	0.1587039433
385	0.1583410756
386	0.1581901593
387	0.1580174264
388	0.1578120542
389	0.1572079926
390	0.1569386171
391	0.1567052991
392	0.1564579867
393	0.1563831929
394	0.1562605869
395	0.1558543645
396	0.155439334
397	0.155346474
398	0.1549674581
399	0.1546014079
