iter	Logloss
0	0.6615625446
1	0.6358957183
2	0.6094707532
3	0.5844076778
4	0.5676166663
5	0.5469780397
6	0.5373199549
7	0.5218234544
8	0.5070699627
9	0.4924405559
10	0.4791104606
11	0.4685265616
12	0.4600842937
13	0.4518679501
14	0.4439900859
15	0.4359054565
16	0.4297413344
17	0.4240122163
18	0.4187099585
19	0.4139235422
20	0.4088221346
21	0.405088789
22	0.4003308328
23	0.3954492633
24	0.3931824759
25	0.3895381113
26	0.3867919579
27	0.38581861
28	0.3850969036
29	0.3833622022
30	0.3816275865
31	0.3794259489
32	0.3774869683
33	0.3757779839
34	0.3725462496
35	0.3700724827
36	0.3690762466
37	0.3672846248
38	0.3654666429
39	0.3641303416
40	0.3625871465
41	0.3614727835
42	0.3598827405
43	0.358480132
44	0.3565247568
45	0.3554772366
46	0.3543507651
47	0.3530754775
48	0.3515329254
49	0.3497974524
50	0.3487738063
51	0.3477498601
52	0.3466874883
53	0.3454883875
54	0.3449861762
55	0.3436550612
56	0.3425969327
57	0.3409563557
58	0.3396547296
59	0.3391510181
60	0.3374866528
61	0.3361402362
62	0.3349851973
63	0.3342927654
64	0.3323173523
65	0.3309701855
66	0.3297992449
67	0.3291235506
68	0.3281683761
69	0.327285338
70	0.3265087471
71	0.3262104077
72	0.324449432
73	0.3240684124
74	0.3234274789
75	0.3218032323
76	0.320681497
77	0.31979653
78	0.3186905464
79	0.3180101373
80	0.317339715
81	0.3170473977
82	0.3159115823
83	0.3140641116
84	0.3136853422
85	0.3128685683
86	0.3125071793
87	0.3116453578
88	0.3113712354
89	0.3107965448
90	0.3103812571
91	0.3099675768
92	0.308437476
93	0.3077129407
94	0.3070403967
95	0.3063039887
96	0.3050343803
97	0.3047552002
98	0.304007348
99	0.3034016041
100	0.3028826553
101	0.3027967817
102	0.3018012743
103	0.3001955011
104	0.2998435203
105	0.298800222
106	0.2983619604
107	0.2979149551
108	0.2972777935
109	0.2965911479
110	0.296439203
111	0.2957656732
112	0.2948441666
113	0.2945145168
114	0.293057581
115	0.2924581378
116	0.2921349386
117	0.2914058385
118	0.2905104776
119	0.2899725839
120	0.2898471275
121	0.2893262713
122	0.288966704
123	0.2883909847
124	0.2877746753
125	0.2872296237
126	0.2858311514
127	0.285154064
128	0.2841703865
129	0.2833067433
130	0.2831959885
131	0.2828340423
132	0.2824530441
